"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 17 03:13:53 GMT 2023","Fri Feb 17 03:13:56 GMT 2023","3049","create a wallet","create/account","create/password > create/seed","","","#3 点击next=>点击成功",""
"passed","Fri Feb 17 03:14:31 GMT 2023","Fri Feb 17 03:14:35 GMT 2023","4158","importWallet","import/seed","","","","#4 词库外的单词https://github.com/bitcoin/bips/blob/master/bip-0039/english.txt => 无法导入助记词",""
"skipped","Fri Feb 17 03:13:37 GMT 2023","Fri Feb 17 03:13:37 GMT 2023","1","create a wallet","create/account","","","","#3 输入的用户名包含特殊符号，中文，表情等 => 报错",""
"passed","Fri Feb 17 03:13:34 GMT 2023","Fri Feb 17 03:13:37 GMT 2023","2580","create a wallet","create/account","","","","#2 还没输入用户名,点击back => 返回成功",""
"passed","Fri Feb 17 03:13:56 GMT 2023","Fri Feb 17 03:14:03 GMT 2023","7164","create a wallet","create/account","create/password > create/seed > create/confirm","","","#1 输入顺序和之前不一致=>无法点击confirm",""
"passed","Fri Feb 17 03:14:37 GMT 2023","Fri Feb 17 03:14:40 GMT 2023","3130","importWallet","import/seed","","","","#6 还没输完，点击next=>点击失败",""
"passed","Fri Feb 17 03:13:47 GMT 2023","Fri Feb 17 03:13:49 GMT 2023","2864","create a wallet","create/account","create/password > create/seed","","","#1 clipboard 和 框里一致",""
"skipped","Fri Feb 17 03:13:43 GMT 2023","Fri Feb 17 03:13:43 GMT 2023","1","create a wallet","create/account","create/password","","","#2-1 输入的密码:🆕🆕🆕🆕🆕🆕🆕🆕🆕🆕🆕=>报错",""
"passed","Fri Feb 17 03:14:22 GMT 2023","Fri Feb 17 03:14:26 GMT 2023","4081","importWallet","import/seed","","","","#2 输入的助记词包含数字 # 无法导入助记词",""
"passed","Fri Feb 17 03:13:50 GMT 2023","Fri Feb 17 03:13:53 GMT 2023","2940","create a wallet","create/account","create/password > create/seed","","","#2 点击返回=>点击成功",""
"passed","Fri Feb 17 03:14:26 GMT 2023","Fri Feb 17 03:14:30 GMT 2023","4078","importWallet","import/seed","","","","#3 输入的助记词包含特殊符号 => 无法导入助记词",""
"failed","Fri Feb 17 03:13:17 GMT 2023","Fri Feb 17 03:13:19 GMT 2023","1937","demo","","","","","2nd connect will failed",""
"passed","Fri Feb 17 03:13:29 GMT 2023","Fri Feb 17 03:13:34 GMT 2023","5587","create a wallet","create/account","","","","#1 还没输入用户名,点击继续 => 无法点击继续",""
"failed","Fri Feb 17 03:13:43 GMT 2023","Fri Feb 17 03:13:46 GMT 2023","2861","create a wallet","create/account","create/password","","","#3 输入的密码,和确认密码不一致=>无法点击继续 ",""
"passed","Fri Feb 17 03:14:03 GMT 2023","Fri Feb 17 03:14:09 GMT 2023","5603","create a wallet","create/account","create/password > create/seed > create/confirm","","","#2 输入错误的顺序能够，能够取消输入正确的顺序",""
"passed","Fri Feb 17 03:14:09 GMT 2023","Fri Feb 17 03:14:13 GMT 2023","4351","create a wallet","create/account","create/password > create/seed > create/confirm","","","#3 输入正确的顺序后，能够点击confirm",""
"passed","Fri Feb 17 03:14:18 GMT 2023","Fri Feb 17 03:14:22 GMT 2023","4095","importWallet","import/seed","","","","#1 输入的助记词包含重复的单词 # 无法导入助记词",""
"broken","Fri Feb 17 03:14:40 GMT 2023","Fri Feb 17 03:14:44 GMT 2023","4014","importWallet","import/seed","import/password","","","#1 输入密码少于8位, 就点击next=>报错",""
"passed","Fri Feb 17 03:13:37 GMT 2023","Fri Feb 17 03:13:43 GMT 2023","6056","create a wallet","create/account","create/password","","","#1 输入密码少于8位, 就点击next=>报错",""
"skipped","Fri Feb 17 03:13:37 GMT 2023","Fri Feb 17 03:13:37 GMT 2023","0","create a wallet","create/account","","","","#4 输入的用户名过长 => 限制长度",""
"passed","Fri Feb 17 03:14:35 GMT 2023","Fri Feb 17 03:14:37 GMT 2023","2225","importWallet","import/seed","","","","#5 点击返回=> 返回成功",""
"passed","Fri Feb 17 03:13:22 GMT 2023","Fri Feb 17 03:13:29 GMT 2023","6825","create a wallet","","","","","#1 确认助记词成功#成功创建账户",""
"skipped","Fri Feb 17 03:13:43 GMT 2023","Fri Feb 17 03:13:43 GMT 2023","1","create a wallet","create/account","create/password","","","#2-0 输入的密码:中文中文中文中文中文中文中文=>报错",""
"broken","Fri Feb 17 03:14:13 GMT 2023","Fri Feb 17 03:14:17 GMT 2023","4109","importWallet","","","","","#1 输入正确的助记词 # 导入账户成功 ",""
