"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 07 14:23:53 GMT 2023","Tue Mar 07 14:23:55 GMT 2023","1638","importWallet","import/seed","","","","#5 点击返回=> 返回成功",""
"broken","Tue Mar 07 14:23:26 GMT 2023","Tue Mar 07 14:23:32 GMT 2023","5931","importWallet","","","","","#1 输入正确的助记词 # 导入账户成功 ",""
"skipped","Tue Mar 07 14:23:02 GMT 2023","Tue Mar 07 14:23:02 GMT 2023","0","create a wallet","create/account","create/password","","","#2-0 输入的密码:中文中文中文中文中文中文中文=>报错",""
"skipped","Tue Mar 07 14:22:56 GMT 2023","Tue Mar 07 14:22:56 GMT 2023","0","create a wallet","create/account","","","","#4 输入的用户名过长 => 限制长度",""
"broken","Tue Mar 07 14:25:24 GMT 2023","Tue Mar 07 14:25:24 GMT 2023","0","notification","sign-data","","","","""before all"" hook for ""signData(type:fullOwnership,payload:{""signer"":""0x00"",""data"":""0x00""}),expected:mooooock signed data""",""
"broken","Tue Mar 07 14:25:20 GMT 2023","Tue Mar 07 14:25:20 GMT 2023","0","popup","","","","","""after each"" hook for ""在白名单的网页，点击enable,不用approve""",""
"passed","Tue Mar 07 14:22:54 GMT 2023","Tue Mar 07 14:22:56 GMT 2023","2196","create a wallet","create/account","","","","#2 还没输入用户名,点击back => 返回成功",""
"passed","Tue Mar 07 14:24:14 GMT 2023","Tue Mar 07 14:24:19 GMT 2023","5335","importWallet","import/seed","import/password","","","#5 还没输入用户名,点击继续 => 无法点击继续",""
"skipped","Tue Mar 07 14:24:27 GMT 2023","Tue Mar 07 14:24:27 GMT 2023","1","importWallet","import/seed","import/password > import/account","","","#3-0 输入的用户名包含特殊符号，中文，表情等: => 报错",""
"passed","Tue Mar 07 14:22:49 GMT 2023","Tue Mar 07 14:22:54 GMT 2023","5159","create a wallet","create/account","","","","#1 还没输入用户名,点击继续 => 无法点击继续",""
"passed","Tue Mar 07 14:22:35 GMT 2023","Tue Mar 07 14:22:42 GMT 2023","6577","prepare","","","","","init",""
"passed","Tue Mar 07 14:24:57 GMT 2023","Tue Mar 07 14:24:58 GMT 2023","492","popup","","","","","能够点击network",""
"passed","Tue Mar 07 14:23:07 GMT 2023","Tue Mar 07 14:23:09 GMT 2023","2084","create a wallet","create/account","create/password > create/seed","","","#1 clipboard 和 框里一致",""
"passed","Tue Mar 07 14:24:05 GMT 2023","Tue Mar 07 14:24:11 GMT 2023","5469","importWallet","import/seed","import/password","","","#3 输入的密码,和确认密码不一致=>无法点击继续 ",""
"passed","Tue Mar 07 14:24:25 GMT 2023","Tue Mar 07 14:24:27 GMT 2023","2782","importWallet","import/seed","import/password > import/account","","","#2 还没输入用户名,点击back => 返回成功",""
