"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Feb 26 15:30:24 GMT 2023","Sun Feb 26 15:30:25 GMT 2023","1509","popup","whitelist-sites","","","","删除白名单网页,删除成功",""
"broken","Sun Feb 26 15:30:53 GMT 2023","Sun Feb 26 15:30:53 GMT 2023","1","popup","","","","","""after each"" hook for ""https://godwoken-bridge-testnet.vercel.app/#/v1/deposit/pending?sadasdasdasdasdasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndasdandawndiowafnoawhfaoihfoaihfioawhfoia=aaa""",""
"passed","Sun Feb 26 15:29:16 GMT 2023","Sun Feb 26 15:29:21 GMT 2023","5271","importWallet","import/seed","import/password","","","#1 输入密码少于8位, 就点击next=>报错",""
"skipped","Sun Feb 26 15:29:21 GMT 2023","Sun Feb 26 15:29:21 GMT 2023","0","importWallet","import/seed","import/password","","","#2-0 输入的密码:中文12345678=>报错",""
"broken","Sun Feb 26 15:30:01 GMT 2023","Sun Feb 26 15:30:11 GMT 2023","10279","popup","","","","","连接网站时,查询连接状态为已连接,关闭后为未连接",""
"skipped","Sun Feb 26 15:29:42 GMT 2023","Sun Feb 26 15:29:42 GMT 2023","0","importWallet","import/seed","import/password > import/account","","","#3-0 输入的用户名包含特殊符号，中文，表情等: => 报错",""
"broken","Sun Feb 26 15:28:01 GMT 2023","Sun Feb 26 15:28:08 GMT 2023","7456","create a wallet","","","","","#1 确认助记词成功#成功创建账户",""
"skipped","Sun Feb 26 15:29:21 GMT 2023","Sun Feb 26 15:29:21 GMT 2023","1","importWallet","import/seed","import/password","","","#2-1 输入的密码:👋👋👋👋👋👋👋👋👋👋👋=>报错",""
"passed","Sun Feb 26 15:27:53 GMT 2023","Sun Feb 26 15:28:01 GMT 2023","7776","prepare","","","","","init",""
"passed","Sun Feb 26 15:28:29 GMT 2023","Sun Feb 26 15:28:31 GMT 2023","2036","create a wallet","create/account","create/password > create/seed","","","#3 点击next=>点击成功",""
"passed","Sun Feb 26 15:30:00 GMT 2023","Sun Feb 26 15:30:00 GMT 2023","779","popup","","","","","查询名字和 UserName:xm一致",""
"passed","Sun Feb 26 15:28:59 GMT 2023","Sun Feb 26 15:29:04 GMT 2023","5058","importWallet","import/seed","","","","#3 输入的助记词包含特殊符号 => 无法导入助记词",""
"passed","Sun Feb 26 15:29:04 GMT 2023","Sun Feb 26 15:29:10 GMT 2023","5134","importWallet","import/seed","","","","#4 词库外的单词https://github.com/bitcoin/bips/blob/master/bip-0039/english.txt => 无法导入助记词",""
