"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 10:09:15 GMT 2023","Thu Feb 16 10:09:26 GMT 2023","10919","create a wallet","create/account","create/password > create/seed > create/confirm","","","#2 输入错误的顺序能够，能够取消输入正确的顺序",""
"passed","Thu Feb 16 10:08:39 GMT 2023","Thu Feb 16 10:08:43 GMT 2023","4300","create a wallet","create/account","create/password","","","#1 输入密码少于8位, 就点击next=>报错",""
"passed","Thu Feb 16 10:10:28 GMT 2023","Thu Feb 16 10:10:35 GMT 2023","6814","importWallet","import/seed","import/password > import/account","","","#1 还没输入用户名,点击继续 => 无法点击继续",""
"passed","Thu Feb 16 10:09:47 GMT 2023","Thu Feb 16 10:09:52 GMT 2023","4725","importWallet","import/seed","","","","#3 输入的助记词包含特殊符号 => 无法导入助记词",""
"skipped","Thu Feb 16 10:10:09 GMT 2023","Thu Feb 16 10:10:09 GMT 2023","1","importWallet","import/seed","import/password","","","#2-0 输入的密码:中文12345678=>报错",""
"passed","Thu Feb 16 10:08:43 GMT 2023","Thu Feb 16 10:08:49 GMT 2023","5629","create a wallet","create/account","create/password","","","#2 输入的密码包含中文，表情等=>报错",""
"skipped","Thu Feb 16 10:08:39 GMT 2023","Thu Feb 16 10:08:39 GMT 2023","0","create a wallet","create/account","","","","#3 输入的用户名包含特殊符号，中文，表情等 => 报错",""
"passed","Thu Feb 16 10:08:58 GMT 2023","Thu Feb 16 10:09:02 GMT 2023","3976","create a wallet","create/account","create/password > create/seed","","","#2 点击返回=>点击成功",""
"passed","Thu Feb 16 10:08:53 GMT 2023","Thu Feb 16 10:08:58 GMT 2023","4819","create a wallet","create/account","create/password > create/seed","","","#1 clipboard 和 框里一致",""
"passed","Thu Feb 16 10:10:35 GMT 2023","Thu Feb 16 10:10:41 GMT 2023","5808","importWallet","import/seed","import/password > import/account","","","#2 还没输入用户名,点击back => 返回成功",""
"passed","Thu Feb 16 10:10:16 GMT 2023","Thu Feb 16 10:10:22 GMT 2023","5847","importWallet","import/seed","import/password","","","#4 还没点击 agree 按钮，点击继续=>无法点击继续 ",""
"passed","Thu Feb 16 10:10:03 GMT 2023","Thu Feb 16 10:10:09 GMT 2023","6429","importWallet","import/seed","import/password","","","#1 输入密码少于8位, 就点击next=>报错",""
