"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 22 13:43:29 GMT 2023","Wed Feb 22 13:43:34 GMT 2023","4863","create a wallet","create/account","create/password","","","#3 输入的密码,和确认密码不一致=>无法点击继续 ",""
"passed","Wed Feb 22 13:43:24 GMT 2023","Wed Feb 22 13:43:29 GMT 2023","4811","create a wallet","create/account","create/password","","","#1 输入密码少于8位, 就点击next=>报错",""
"passed","Wed Feb 22 13:43:34 GMT 2023","Wed Feb 22 13:43:36 GMT 2023","2207","create a wallet","create/account","create/password > create/seed","","","#1 clipboard 和 框里一致",""
"skipped","Wed Feb 22 13:43:29 GMT 2023","Wed Feb 22 13:43:29 GMT 2023","0","create a wallet","create/account","create/password","","","#2-0 输入的密码:中文中文中文中文中文中文中文=>报错",""
"passed","Wed Feb 22 13:44:11 GMT 2023","Wed Feb 22 13:44:16 GMT 2023","5329","importWallet","import/seed","","","","#3 输入的助记词包含特殊符号 => 无法导入助记词",""
"skipped","Wed Feb 22 13:44:57 GMT 2023","Wed Feb 22 13:44:57 GMT 2023","0","importWallet","import/seed","import/password > import/account","","","#4 输入的用户名过长 => 限制长度",""
"passed","Wed Feb 22 13:44:28 GMT 2023","Wed Feb 22 13:44:33 GMT 2023","5760","importWallet","import/seed","import/password","","","#1 输入密码少于8位, 就点击next=>报错",""
"passed","Wed Feb 22 13:43:17 GMT 2023","Wed Feb 22 13:43:22 GMT 2023","4487","create a wallet","create/account","","","","#1 还没输入用户名,点击继续 => 无法点击继续",""
"passed","Wed Feb 22 13:44:23 GMT 2023","Wed Feb 22 13:44:28 GMT 2023","4517","importWallet","import/seed","","","","#6 还没输完，点击next=>点击失败",""
"passed","Wed Feb 22 13:44:39 GMT 2023","Wed Feb 22 13:44:42 GMT 2023","2772","importWallet","import/seed","import/password","","","#4 还没点击 agree 按钮，点击继续=>无法点击继续 ",""
"skipped","Wed Feb 22 13:43:24 GMT 2023","Wed Feb 22 13:43:24 GMT 2023","1","create a wallet","create/account","","","","#3 输入的用户名包含特殊符号，中文，表情等 => 报错",""
"skipped","Wed Feb 22 13:44:33 GMT 2023","Wed Feb 22 13:44:33 GMT 2023","0","importWallet","import/seed","import/password","","","#2-1 输入的密码:👋👋👋👋👋👋👋👋👋👋👋=>报错",""
"passed","Wed Feb 22 13:44:42 GMT 2023","Wed Feb 22 13:44:48 GMT 2023","5609","importWallet","import/seed","import/password","","","#5 还没输入用户名,点击继续 => 无法点击继续",""
"passed","Wed Feb 22 13:44:54 GMT 2023","Wed Feb 22 13:44:57 GMT 2023","2992","importWallet","import/seed","import/password > import/account","","","#2 还没输入用户名,点击back => 返回成功",""
"passed","Wed Feb 22 13:43:22 GMT 2023","Wed Feb 22 13:43:24 GMT 2023","1615","create a wallet","create/account","","","","#2 还没输入用户名,点击back => 返回成功",""
"passed","Wed Feb 22 13:43:12 GMT 2023","Wed Feb 22 13:43:17 GMT 2023","5338","create a wallet","","","","","#1 确认助记词成功#成功创建账户",""
"skipped","Wed Feb 22 13:44:33 GMT 2023","Wed Feb 22 13:44:33 GMT 2023","1","importWallet","import/seed","import/password","","","#2-0 输入的密码:中文12345678=>报错",""
"passed","Wed Feb 22 13:43:51 GMT 2023","Wed Feb 22 13:43:54 GMT 2023","3112","create a wallet","create/account","create/password > create/seed > create/confirm","","","#3 输入正确的顺序后，能够点击confirm",""
